DenunciaID;Fecha_Creacion;Comuna;Motivo_Denuncia;Rubro
1999;2019-01-02 11:07:51;11;Garantia de Bienes. Art 11  Ley 24.240 - Falta de suministro de partes y accesorios;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
2000;2019-01-02 11:10:31;11;Falta de cumplimento garantia posventa;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
2001;2019-01-02 11:31:03;11;Practicas Abusivas - Venta Enganosa;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2002;2019-01-02 12:19:49;11;Garantia de Bienes. Art 11  Ley 24.240 - Reparacion insatisfactoria;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
2003;2019-01-02 15:02:31;11;Garantia de Bienes. Art 11  Ley 24.240 - Reparacion insatisfactoria;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
2004;2019-01-03 09:11:38;11;Problemas de fraude o estafa;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2005;2019-01-03 10:43:49;11;Falta de Informacion;RODADOS, AUTOMOTORES Y EMBARCACIONES
2006;2019-01-03 12:25:00;11;Producto no funciona;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
2008;2019-01-04 09:56:07;4;Entrega Defectuosa - Producto danado;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
2009;2019-01-04 10:17:23;4;Practicas Abusivas - Venta  Enganosa;RODADOS, AUTOMOTORES Y EMBARCACIONES
2011;2019-01-04 11:30:59;4;Falta de Entrega del bien;RODADOS, AUTOMOTORES Y EMBARCACIONES
2012;2019-01-04 12:15:21;4;Cumplimiento parcial o defectuoso de la prestacion del servicio - Falta de o conectividad deficiente;SERVICIOS DE COMUNICACIONES
2013;2019-01-04 12:23:03;11;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240;Servicios turisticos hoteles, hosterias, albergues, etc.
2014;2019-01-04 12:23:14;11;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240;Servicios turisticos hoteles, hosterias, albergues, etc.
2015;2019-01-04 13:01:48;11;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
2016;2019-01-04 13:44:33;11;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240;SALUD
2017;2019-01-04 13:52:29;4;Problemas con la devolucion del bien o el reembolso de sumas - Restricciones abusivas en las modalidades de devolucion o reembolso;RODADOS, AUTOMOTORES Y EMBARCACIONES
2018;2019-01-04 14:15:52;4;Clausulas abusivas o no convenidas;TELEFONIA Y REDES
2019;2019-01-04 14:34:10;4;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.241 - Problemas con la devolucion del bien o el reembolso de sumas - restricciones abusivas en las modalidades de devolucion o reembolso;ALIMENTOS Y BEBIDAS
2020;2019-01-04 14:34:23;11;Demora en la entrega del bien;MUEBLES
2021;2019-01-07 08:48:26;12;Falta de Entrega del bien;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
2022;2019-01-07 08:59:35;4;Precios - Precio excesivo;RODADOS, AUTOMOTORES Y EMBARCACIONES
2025;2019-01-07 10:21:21;12;Incumplimiento total de la prestacion del servicio  contratado;Servicios turisticos hoteles, hosterias, albergues, etc.
2026;2019-01-07 10:26:10;11;Falta de cumplimento garantia posventa;TELEFONIA Y REDES
2029;2019-01-07 10:45:49;11;Falta de cumplimento garantia posventa;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
2030;2019-01-07 11:18:40;12;Falta de Informacion;ALIMENTOS Y BEBIDAS
2031;2019-01-07 11:55:37;12;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2032;2019-01-07 11:59:39;4;Entrega Defectuosa - Producto danado;TEXTIL, CALZADO Y MARROQUINERIA
2033;2019-01-07 13:19:04;12;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240;TEXTIL, CALZADO Y MARROQUINERIA
2034;2019-01-07 13:20:31;11;Garantia de Bienes. Art 11  Ley 24.240 - Reparacion insatisfactoria;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
